Search_Keyword_for_Job,URL,Position,Company,job_loc,salary_range,job_type,job_desc,DATE,DEG,DOMAIN,EMAIL,EXP,HARD SKILLS,LOC,ORG,PER,PHONE,PROJECT,ROLE,SOFT SKILLS,UNI
Machine Learning Engineer,https://indeed.com/viewjob?jk=d5e9c147dab76aed,"Machine Learning Engineer – 3D computer vision, Autopilot AI",Tesla,,,Full-time,"      Train neural networks for autonomous driving tasks, such as object detection, pose estimation, depth estimation, keypoint detection & tracking, SLAM, etc.       Strong experience with Python, C++, and software engineering best practices.    ",,,,,,"neural networks, object detection, pose estimation, depth estimation, keypoint detection & tracking, SLAM, Python, C++",,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=65cbecfbe224e712,Machine Learning Engineer,Hayden AI Technologies,Remote,"$89,000 - $200,000 a year",,,,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=61c588ca40378fa8,Machine Learning Engineer,Adobe,,"$116,800 - $213,900 a year",Full-time,"Our Company  Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.  We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!  The Opportunity Adobe is looking for a Machine Learning Engineer who has an expertise in software engineering and machine learning. In this role, you will partner with the business units to build and scale data products that address challenging business problems for Adobe’s enterprise customers. Research, develop, and deploy large-scale machine learning solutions for business.  What you’ll Do Work closely with data scientists, engineers, researchers, and product managers to build AI/ML solutions and Experimentation on Adobe Experience Platform Engage with customers to understand and anticipate how machine learning can solve their business problems Work across organizational boundaries to align on priorities and drive projects forward Promote accomplishments across the organization, blogs, and conferences  What you need to succeed Ph.D. or M.S. degree in Computer Science, Electrical Engineering, Statistics, Applied Mathematics, or related fields. Proficient in one or more programming languages such as Python, Java, or Scala. In-depth knowledge of machine learning algorithms and their applications to business problems. Proven ability in building, deploying, measuring, and maintaining machine learning models Proven ability in building large-scale distributed ML pipelines. Experience with scikit-learn, pandas, ml-lib.  Preferred Qualifications Proven track record of delivering business solutions or production software. Experience with Apache Spark, CosmosDB, Cassandra or similar. Familiarity with a Deep Learning framework such as TensorFlow or PyTorch. Our compensation reflects the cost of labor across several U.S. geographic markets, and we pay differently based on those defined markets. The U.S. pay range for this position is $116,800 -- $213,900 annually. Pay within this range varies by work location and may also depend on job-related knowledge, skills, and experience. Your recruiter can share more about the specific salary range for the job location during the hiring process.  At Adobe, for sales roles starting salaries are expressed as total target compensation (TTC = base + commission), and short-term incentives are in the form of sales commission plans. Non-sales roles starting salaries are expressed as base salary and short-term incentives are in the form of the Annual Incentive Plan (AIP).  In addition, certain roles may be eligible for long-term incentives in the form of a new hire equity award.  Adobe is proud to be an Equal Employment Opportunity and affirmative action employer. We do not discriminate based on gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other applicable characteristics protected by law. Learn more.  Adobe aims to make Adobe.com accessible to any and all users. If you have a disability or special need that requires accommodation to navigate our website or complete the application process, email accommodations@adobe.com or call (408) 536-3015.  Adobe values a free and open marketplace for all employees and has policies in place to ensure that we do not enter into illegal agreements with other companies to not recruit or hire each other’s employees.",,"Ph.D. or M.S. degree in Computer Science, Electrical Engineering, Statistics, Applied Mathematics, or related fields","software engineering, machine learning, machine learning, data scientists, AI, ML, machine learning, machine learning, machine learning, ML, Deep Learning",accommodations@adobe.com,,"Python, Java, Scala, scikit-learn, pandas, ml-lib, Apache Spark, CosmosDB, Cassandra, TensorFlow, PyTorch, Annual Incentive Plan (AIP)",U.S.,,,(408) 536-3015,Changing the world through digital experiences,"Machine Learning Engineer, engineers, researchers, product managers","building, deploying, measuring, maintaining",
Machine Learning Engineer,https://indeed.com/viewjob?jk=744a1ab68d66309a,"AI Data Scientist/Machine Learning Engineer, WW CSO",Apple,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=4ed96ad6a4dacdd0,Machine Learning Engineer (Entry Level),"SRC, Inc",,,,"SRC, Inc. is seeking an entry level engineer to work in the machine learning (ML) and artificial intelligence (AI) domains for our Syracuse, NY or Rome, NY office. The rapid advancement of deep learning continues to enable new and innovative applications, solutions, and capabilities for our products, including ground and airborne radar systems, electronic warfare (EW) systems, optical sensors, and more. The selected candidate will have the opportunity to design, develop, and field solutions using deep learning and other machine learning models on state-of-the-art hardware to solve a variety of challenges of national significance.  SRC, Inc., a not-for-profit research and development company, combines information, science, technology, and ingenuity across our family of companies to deliver innovative, advanced defense solutions and products that are redefining possible®. Since 1957, our commitment to the customer and the best solution – not the bottom line – has remained a core value that guides our efforts. This passion for quality carries through to the technologies we invent and manufacture, the laboratories, and facilities we build, the people we hire, and the communities we support. At SRC, we provide you the freedom and the resources to solve “impossible” problems in a collaborative work environment that integrates research, development, and manufacturing. We strive to proactively identify and eliminate barriers that prevent our employees’ full participation and are committed to ensuring an inclusive and equitable workplace for all our employees. When you join our team, you’ll be a part of something truly meaningful. You’ll join more than 1,300 engineers, scientists, and professionals — with 20 percent of those employees having served in the military — helping to keep America and its allies safe and strong. In return, you’ll enjoy an inclusive work environment, receive a competitive salary, and experience a comprehensive benefits package that includes four or more weeks of paid time off to start, 10 percent of an employee’s compensation contributed toward retirement, and 100 percent tuition support.",1957,,"machine learning (ML), artificial intelligence (AI), deep learning, deep learning, machine learning",,,,"Syracuse, NY, Rome, NY","SRC, Inc., SRC, Inc., SRC",,,,engineer,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=81f2ae592bc4b943,Machine Learning Engineer,Defendry,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=2ec6e56d58e91933,Software Engineer 1 - Machine Learning,Abacus.AI,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=1f8ff146a8ba0666,Machine Learning Engineer,AstraZeneca,,Full-time,Monday to Friday,,,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=800cc9fcdfb7da3a,"Jr Machine Learning Engineer (Hybrid - Remote, Utah)",Deseret Digital Media,Remote,Estimated $103K - $131K a year,Full-time," The Junior Machine Learning Engineer uses statistics, programming and machine learning techniques to analyze product, revenue, advertising, social and sales data to discover, predict, communicate and create opportunities for operational and product improvement. This person will be a key member of the Data Analytics department which works across all product teams within Deseret Digital Media, including KSL Classifieds, KSL Cars, KSL Homes, KSL Jobs, and KSL.com News. This person will create user-facing tools on KSL.com that leverage machine learning to improve the user experience for buyers and sellers on KSL.com’s digital marketplace.  In addition to all the standard things that happen to be great at DDM (like competitive wages, stability, and super benefits)…",,,"machine learning, Data Analytics, machine learning",,,"statistics, programming",,,,,,Junior Machine Learning Engineer,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=1b3a3771dab71412,Data Science/ Machine Learning Engineer,ICS Global Soft,,Estimated $103K - $131K a year,Full-time,,,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=392d00e96b3d742e,AI Machine Learning Engineer,PayPal,,"$96,900 - $234,300 a year",Full-time,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.Job Description Summary: We are seeking a talented and driven AI Machine Learning Engineer to join PayPal’s nascent Strategic Generative AI Unit (“SGAU”). The SGAU’s charter is to orchestrate and facilitate adoption of Generative AI techniques and algorithms across enterprise business use cases by providing technical consulting as well as conducting applied R&D to explore building in house generative AI capabilities. The ideal candidate will have a proven track record of developing and implementing machine learning and software engineering solutions across large enterprises, working to create the necessary engineering answers to integrate vendors’ LLM products or applications with PayPal’s infrastructure. In this role, you will work closely with Business Solutions Consultants, ML Scientists, and PayPal’s business units’ engineering teams to identify and address potential implementation problems.Job Description:  Our Benefits: At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you. We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com Who We Are: To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx PayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com. As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.",,,"AI, AI, machine learning, software engineering",paypalglobaltalentacquisition@paypal.com,20 years,LLM,,"PayPal, PayPal",,,,"AI Machine Learning Engineer, ML Scientists",,
Machine Learning Engineer,https://indeed.com/viewjob?jk=92db5c6fe7c47a89,Machine Learning Engineer,"Zoom Video Communications, Inc.",Remote,"$117,000 a year",Full-time," You will be part of a team whose focus is to solve cutting edge AI problems and deploying models that constantly advance the state-of-the-art. You will be working across various Natural Language Processing (NLP) areas like summarization, topic segmentation, language modeling, coreference resolution and other interesting challenges that are challenging at Zoom's scale. A person in this role is expected to able to carry out independent research without much supervision, collaborate with other researchers on larger scale projects, and provide directions to junior engineers on their research/engineering tasks. Minimum: Maximum: In addition to the base salary and/or OTE listed Zoom has a Total Direct Compensation philosophy that takes into consideration; base salary, bonus and equity value. Note: Starting pay will be based on a number of factors and commensurate with qualifications & experience. We also have a location based compensation structure; there may be a different range for candidates in this and other locations. In most cases, you will have the opportunity to choose your preferred working location from the following options when you join Zoom: in-person, hybrid or remote. Visit this page for more information about Zoom's Workstyles. Zoomies help people stay connected so they can get more done together. We set out to build the best video product for the enterprise, and today help people communicate better with products like Zoom Contact Center, Zoom Phone, Zoom Events, Zoom Apps, Zoom Rooms, and Zoom Webinars. We’re problem-solvers, working at a fast pace to design solutions with our customers and users in mind. Here, you’ll work across teams to deliver impactful projects that are changing the way people communicate and enjoy opportunities to advance your career in a diverse, inclusive environment. We believe that the unique contributions of all Zoomies is the driver of our success. To make sure that our products and culture continue to incorporate everyone's perspectives and experience we never discriminate on the basis of race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. Zoom is proud to be an equal opportunity workplace and is an affirmative action employer. All your information will be kept confidential according to EEO guidelines. We welcome people of different backgrounds, experiences, abilities and perspectives including qualified applicants with arrest and conviction records and any qualified applicants requiring reasonable accommodations in accordance with the law. If you need any assistance or accommodations due to a medical condition, or if you need assistance accessing our website or completing the application process, please let us know by emailing us at careers@zoom.us.",,,"AI, Natural Language Processing (NLP)",careers@zoom.us,,"summarization, topic segmentation, language modeling",,Zoom,,,,,problem-solvers,
Machine Learning Engineer,https://indeed.com/viewjob?jk=eedcf874341c46a3,Machine Learning Engineer,Affinity.co,,"$87,000 - $147,000 a year",,,,,,,,,,,,,,,,
